"symbol_hs","symbol_mm"
"FUT11","Fut11"
"CHCHD1","Chchd1"
"ZSWIM8","Zswim8"
"NDST2","Ndst2"
"CAMK2G","Camk2g"
"PLAU","Plau"
"VCL","Vcl"
"AP3M1","Ap3m1"
"ADK","Adk"
"KAT6B","Kat6b"
"SAMD8","Samd8"
"VDAC2","Vdac2"
"COMTD1","Comtd1"
"ZNF503","Zfp503"
"LRMDA","Lrmda"
"KCNMA1","Kcnma1"
"DLG5","Dlg5"
"POLR3A","Polr3a"
"ZMIZ1","Zmiz1"
"PPIF","Ppif"
"ZCCHC24","Zcchc24"
"SFTPD","Sftpd"
"TMEM254","Tmem254"
"PLAC9","Plac9"
"ANXA11","Anxa11"
"MAT1A","Mat1a"
"DYDC1","Dydc1"
"DYDC2","Dydc2"
"PRXL2A","Prxl2a"
"TSPAN14","Tspan14"
"SH2D4B","Sh2d4b"
"NRG3","Nrg3"
"GHITM","Ghitm"
"CDHR1","Cdhr1"
"CCSER2","Ccser2"
"GRID1","Grid1"
"WAPL","Wapl"
"LDB3","Ldb3"
"BMPR1A","Bmpr1a"
"MMRN2","Mmrn2"
"SNCG","Sncg"
"GLUD1","Glud1"
"SHLD2","Shld2"
"MINPP1","Minpp1"
"PAPSS2","Papss2"
"ATAD1","Atad1"
"PTEN","Pten"
"RNLS","Rnls"
"ANKRD22","Ankrd22"
"STAMBPL1","Stambpl1"
"ACTA2","Acta2"
"FAS","Fas"
"CH25H","Ch25h"
"LIPA","Lipa"
"IFIT2","Ifit2"
"SLC16A12","Slc16a12"
"PANK1","Pank1"
"KIF20B","Kif20b"
"HTR7","Htr7"
"RPP30","Rpp30"
"ANKRD1","Ankrd1"
"PCGF5","Pcgf5"
"HECTD2","Hectd2"
"PPP1R3C","Ppp1r3c"
"TNKS2","Tnks2"
"FGFBP3","Fgfbp3"
"BTAF1","Btaf1"
"CPEB3","Cpeb3"
"IDE","Ide"
"KIF11","Kif11"
"EXOC6","Exoc6"
"MYOF","Myof"
"CEP55","Cep55"
"FFAR4","Ffar4"
"RBP4","Rbp4"
"FRA10AC1","Fra10ac1"
"SLC35G1","Slc35g1"
"PLCE1","Plce1"
"NOC3L","Noc3l"
"TBC1D12","Tbc1d12"
"HELLS","Hells"
"CYP2C18","Cyp2c55"
"PDLIM1","Pdlim1"
"SORBS1","Sorbs1"
"ALDH18A1","Aldh18a1"
"TCTN3","Tctn3"
"ENTPD1","Entpd1"
"CC2D2B","Cc2d2b"
"CCNJ","Ccnj"
"ZNF518A","Zfp518a"
"BLNK","Blnk"
"TM9SF3","Tm9sf3"
"PIK3AP1","Pik3ap1"
"LCOR","Lcor"
"SLIT1","Slit1"
"ARHGAP19","Arhgap19"
"FRAT2","Frat2"
"RRP12","Rrp12"
"PGAM1","Pgam1"
"EXOSC1","Exosc1"
"ZDHHC16","Zdhhc16"
"MMS19","Mms19"
"UBTD1","Ubtd1"
"ANKRD2","Ankrd2"
"HOGA1","Hoga1"
"MORN4","Morn4"
"PI4K2A","Pi4k2a"
"AVPI1","Avpi1"
"MARVELD1","Marveld1"
"ZFYVE27","Zfyve27"
"SFRP5","Sfrp5"
"GOLGA7B","Golga7b"
"CRTAC1","Crtac1"
"R3HCC1L","R3hcc1l"
"LOXL4","Loxl4"
"PYROXD2","Pyroxd2"
"HPS1","Hps1"
"HPSE2","Hpse2"
"CNNM1","Cnnm1"
"GOT1","Got1"
"SLC25A28","Slc25a28"
"ENTPD7","Entpd7"
"CUTC","Cutc"
"COX15","Cox15"
"ABCC2","Abcc2"
"DNMBP","Dnmbp"
"ERLIN1","Erlin1"
"CHUK","Chuk"
"CWF19L1","Cwf19l1"
"BLOC1S2","Bloc1s2"
"PKD2L1","Pkd2l1"
"SEC31B","Sec31b"
"NDUFB8","Ndufb8"
"HIF1AN","Hif1an"
"SLF2","Slf2"
"MRPL43","Mrpl43"
"SEMA4G","Sema4g"
"TWNK","Twnk"
"LZTS2","Lzts2"
"PDZD7","Pdzd7"
"SFXN3","Sfxn3"
"KAZALD1","Kazald1"
"LBX1","Lbx1"
"BTRC","Btrc"
"DPCD","Dpcd"
"POLL","Poll"
"FBXW4","Fbxw4"
"NPM3","Npm3"
"OGA","Oga"
"KCNIP2","Kcnip2"
"ARMH3","Armh3"
"HPS6","Hps6"
"LDB1","Ldb1"
"PPRC1","Pprc1"
"NOLC1","Nolc1"
"ELOVL3","Elovl3"
"PITX3","Pitx3"
"GBF1","Gbf1"
"NFKB2","Nfkb2"
"PSD","Psd"
"FBXL15","Fbxl15"
"CUEDC2","Cuedc2"
"C10orf95","2310034G01Rik"
"MFSD13A","Mfsd13a"
"ACTR1A","Actr1a"
"SUFU","Sufu"
"TRIM8","Trim8"
"ARL3","Arl3"
"SFXN2","Sfxn2"
"WBP1L","Wbp1l"
"CYP17A1","Cyp17a1"
"BORCS7","Borcs7"
"AS3MT","As3mt"
"CNNM2","Cnnm2"
"NT5C2","Nt5c2"
"PCGF6","Pcgf6"
"TAF5","Taf5"
"PDCD11","Pdcd11"
"CALHM2","Calhm2"
"NEURL1","Neurl1a"
"SH3PXD2A","Sh3pxd2a"
"STN1","Stn1"
"SLK","Slk"
"COL17A1","Col17a1"
"SFR1","Sfr1"
"CFAP43","Cfap43"
"GSTO1","Gsto1"
"GSTO2","Gsto2"
"ITPRIP","Itprip"
"CFAP58","Cfap58"
"XPNPEP1","Xpnpep1"
"ADD3","Add3"
"MXI1","Mxi1"
"SMNDC1","Smndc1"
"DUSP5","Dusp5"
"SMC3","Smc3"
"RBM20","Rbm20"
"PDCD4","Pdcd4"
"BBIP1","Bbip1"
"SHOC2","Shoc2"
"ADRA2A","Adra2a"
"GPAM","Gpam"
"ACSL5","Acsl5"
"ZDHHC6","Zdhhc6"
"VTI1A","Vti1a"
"TCF7L2","Tcf7l2"
"HABP2","Habp2"
"CASP7","Casp7"
"PLEKHS1","Plekhs1"
"DCLRE1A","Dclre1a"
"NHLRC2","Nhlrc2"
"ADRB1","Adrb1"
"CCDC186","Ccdc186"
"VWA2","Vwa2"
"AFAP1L2","Afap1l2"
"ABLIM1","Ablim1"
"TRUB1","Trub1"
"ATRNL1","Atrnl1"
"GFRA1","Gfra1"
"HSPA12A","Hspa12a"
"ENO4","Eno4"
"SHTN1","Shtn1"
"SLC18A2","Slc18a2"
"PDZD8","Pdzd8"
"RAB11FIP2","Rab11fip2"
"FAM204A","Fam204a"
"CACUL1","Cacul1"
"NANOS1","Nanos1"
"EIF3A","Eif3a"
"DENND10","Dennd10"
"SFXN4","Sfxn4"
"PRDX3","Prdx3"
"GRK5","Grk5"
"RGS10","Rgs10"
"TIAL1","Tial1"
"BAG3","Bag3"
"INPP5F","Inpp5f"
"MCMBP","Mcmbp"
"SEC23IP","Sec23ip"
"PLPP4","Plpp4"
"WDR11","Wdr11"
"FGFR2","Fgfr2"
"ATE1","Ate1"
"NSMCE4A","Nsmce4a"
"TACC2","Tacc2"
"BTBD16","Btbd16"
"PLEKHA1","Plekha1"
"HTRA1","Htra1"
"DMBT1","Dmbt1"
"CUZD1","Cuzd1"
"C10orf88","2310057M21Rik"
"PSTK","Pstk"
"IKZF5","Ikzf5"
"ACADSB","Acadsb"
"BUB3","Bub3"
"CPXM2","Cpxm2"
"CHST15","Chst15"
"OAT","Oat"
"LHPP","Lhpp"
"FAM53B","Fam53b"
"EEF1AKMT2","Eef1akmt2"
"ABRAXAS2","Abraxas2"
"ZRANB1","Zranb1"
"CTBP2","Ctbp2"
"EDRF1","Edrf1"
"UROS","Uros"
"BCCIP","Bccip"
"DHX32","Dhx32"
"FANK1","Fank1"
"ADAM12","Adam12"
"DOCK1","Dock1"
"INSYN2A","Insyn2a"
"PTPRE","Ptpre"
"MKI67","Mki67"
"MGMT","Mgmt"
"C10orf143","9430038I01Rik"
"GLRX3","Glrx3"
"PPP2R2D","Ppp2r2d"
"BNIP3","Bnip3"
"JAKMIP3","Jakmip3"
"DPYSL4","Dpysl4"
"STK32C","Stk32c"
"LRRC27","Lrrc27"
"PWWP2B","Pwwp2b"
"INPP5A","Inpp5a"
"CFAP46","Cfap46"
"ADGRA1","Adgra1"
"KNDC1","Kndc1"
"ADAM8","Adam8"
"TUBGCP2","Tubgcp2"
"ZNF511","Zfp511"
"FUOM","Fuom"
"ECHS1","Echs1"
"PAOX","Paox"
"MTG1","Mtg1"
"SPRN","Sprn"
"SCART1","Scart1"
"CYP2E1","Cyp2e1"
"SYCE1","Syce1"
"RIC8A","Ric8a"
"SIRT3","Sirt3"
"PSMD13","Psmd13"
"PGGHG","Pgghg"
"B4GALNT4","B4galnt4"
"PKP3","Pkp3"
"SIGIRR","Sigirr"
"ANO9","Ano9"
"PTDSS2","Ptdss2"
"RNH1","Rnh1"
"HRAS","Hras"
"LRRC56","Lrrc56"
"LMNTD2","Lmntd2"
"RASSF7","Rassf7"
"PHRF1","Phrf1"
"IRF7","Irf7"
"SCT","Sct"
"DRD4","Drd4"
"DEAF1","Deaf1"
"EPS8L2","Eps8l2"
"TMEM80","Tmem80"
"TALDO1","Taldo1"
"GATD1","Gatd1"
"CEND1","Cend1"
"SLC25A22","Slc25a22"
"PIDD1","Pidd1"
"PNPLA2","Pnpla2"
"CRACR2B","Cracr2b"
"CD151","Cd151"
"POLR2L","Polr2l"
"TSPAN4","Tspan4"
"CHID1","Chid1"
"AP2A2","Ap2a2"
"MUC5AC","Muc5ac"
"MUC5B","Muc5b"
"TOLLIP","Tollip"
"BRSK2","Brsk2"
"MOB2","Mob2"
"DUSP8","Dusp8"
"IFITM10","Ifitm10"
"CTSD","Ctsd"
"SYT8","Syt8"
"TNNI2","Tnni2"
"LSP1","Lsp1"
"TNNT3","Tnnt3"
"MRPL23","Mrpl23"
"ASCL2","Ascl2"
"TSPAN32","Tspan32"
"CD81","Cd81"
"TSSC4","Tssc4"
"KCNQ1","Kcnq1"
"CDKN1C","Cdkn1c"
"SLC22A18","Slc22a18"
"PHLDA2","Phlda2"
"NAP1L4","Nap1l4"
"CARS","Cars"
"OSBPL5","Osbpl5"
"ART5","Art5"
"CHRNA10","Chrna10"
"NUP98","Nup98"
"PGAP2","Pgap2"
"RHOG","Rhog"
"STIM1","Stim1"
"RRM1","Rrm1"
"TRIM21","Trim21"
"TRIM68","Trim68"
"UBQLNL","Ubqlnl"
"TRIM6","Trim6"
"TRIM22","Trim75"
"CAVIN3","Cavin3"
"SMPD1","Smpd1"
"APBB1","Apbb1"
"HPX","Hpx"
"TRIM3","Trim3"
"ARFIP2","Arfip2"
"DNHD1","Dnhd1"
"RRP8","Rrp8"
"ILK","Ilk"
"TAF10","Taf10"
"TPP1","Tpp1"
"DCHS1","Dchs1"
"MRPL17","Mrpl17"
"OLFML1","Olfml1"
"PPFIBP2","Ppfibp2"
"CYB5R2","Cyb5r2"
"EIF3F","Eif3f"
"TUB","Tub"
"RIC3","Ric3"
"STK33","Stk33"
"TRIM66","Trim66"
"AKIP1","Akip1"
"C11orf16","BC051019"
"TMEM9B","Tmem9b"
"NRIP3","Nrip3"
"SCUBE2","Scube2"
"DENND5A","Dennd5a"
"TMEM41B","Tmem41b"
"IPO7","Ipo7"
"ZNF143","Zfp143"
"WEE1","Wee1"
"SWAP70","Swap70"
"SBF2","Sbf2"
"ADM","Adm"
"AMPD3","Ampd3"
"RNF141","Rnf141"
"LYVE1","Lyve1"
"CTR9","Ctr9"
"EIF4G2","Eif4g2"
"GALNT18","Galnt18"
"USP47","Usp47"
"DKK3","Dkk3"
"MICAL2","Mical2"
"PARVA","Parva"
"TEAD1","Tead1"
"RASSF10","Rassf10"
"ARNTL","Arntl"
"BTBD10","Btbd10"
"FAR1","Far1"
"SPON1","Spon1"
"RRAS2","Rras2"
"COPB1","Copb1"
"PSMA1","Psma1"
"PDE3B","Pde3b"
"CYP2R1","Cyp2r1"
"CALCA","Calca"
"INSC","Insc"
"SOX6","Sox6"
"C11orf58","1110004F10Rik"
"PLEKHA7","Plekha7"
"PIK3C2A","Pik3c2a"
"NUCB2","Nucb2"
"KCNJ11","Kcnj11"
"ABCC8","Abcc8"
"USH1C","Ush1c"
"SERGEF","Sergef"
"TPH1","Tph1"
"SAAL1","Saal1"
"SAA4","Saa4"
"HPS5","Hps5"
"GTF2H1","Gtf2h1"
"LDHA","Ldha"
"LDHC","Ldhc"
"TSG101","Tsg101"
"UEVLD","Uevld"
"SPTY2D1","Spty2d1"
"TMEM86A","Tmem86a"
"ZDHHC13","Zdhhc13"
"E2F8","E2f8"
"NAV2","Nav2"
"HTATIP2","Htatip2"
"PRMT3","Prmt3"
"NELL1","Nell1"
"ANO5","Ano5"
"FANCF","Fancf"
"GAS2","Gas2"
"SVIP","Svip"
"LUZP2","Luzp2"
"ANO3","Ano3"
"MUC15","Muc15"
"FIBIN","Fibin"
"BBOX1","Bbox1"
"CCDC34","Ccdc34"
"LGR4","Lgr4"
"LIN7C","Lin7c"
"BDNF","Bdnf"
"KIF18A","Kif18a"
"METTL15","Mettl15"
"KCNA4","Kcna4"
"ARL14EP","Arl14ep"
"MPPED2","Mpped2"
"DNAJC24","Dnajc24"
"IMMP1L","Immp1l"
"ELP4","Elp4"
"RCN1","Rcn1"
"WT1","Wt1"
"EIF3M","Eif3m"
"PRRG4","Prrg4"
"QSER1","Qser1"
"DEPDC7","Depdc7"
"TCP11L1","Tcp11l1"
"CSTF3","Cstf3"
"HIPK3","Hipk3"
"KIAA1549L","D430041D05Rik"
"C11orf91","A930018P22Rik"
"FBXO3","Fbxo3"
"LMO2","Lmo2"
"CAPRIN1","Caprin1"
"NAT10","Nat10"
"ABTB2","Abtb2"
"CAT","Cat"
"ELF5","Elf5"
"EHF","Ehf"
"APIP","Apip"
"PDHX","Pdhx"
"CD44","Cd44"
"SLC1A2","Slc1a2"
"PAMR1","Pamr1"
"FJX1","Fjx1"
"TRIM44","Trim44"
"LDLRAD3","Ldlrad3"
"COMMD9","Commd9"
"PRR5L","Prr5l"
"TRAF6","Traf6"
"RAG1","Rag1"
"LRRC4C","Lrrc4c"
"API5","Api5"
"TTC17","Ttc17"
"HSD17B12","Hsd17b12"
"ALKBH3","Alkbh3"
"C11orf96","Gm13889"
"ACCS","Accs"
"EXT2","Ext2"
"CD82","Cd82"
"TSPAN18","Tspan18"
"TP53I11","Trp53i11"
"PRDM11","Prdm11"
"SYT13","Syt13"
"CHST1","Chst1"
"SLC35C1","Slc35c1"
"CRY2","Cry2"
"MAPK8IP1","Mapk8ip1"
"PEX16","Pex16"
"LARGE2","Large2"
"PHF21A","Phf21a"
"CREB3L1","Creb3l1"
"DGKZ","Dgkz"
"MDK","Mdk"
"AMBRA1","Ambra1"
"HARBI1","Harbi1"
"ATG13","Atg13"
"ARHGAP1","Arhgap1"
"ZNF408","Zfp408"
"CKAP5","Ckap5"
"LRP4","Lrp4"
"C11orf49","Cstpp1"
"ARFGAP2","Arfgap2"
"PACSIN3","Pacsin3"
"DDB2","Ddb2"
"ACP2","Acp2"
"NR1H3","Nr1h3"
"MADD","Madd"
"MYBPC3","Mybpc3"
"SPI1","Spi1"
"SLC39A13","Slc39a13"
"PSMC3","Psmc3"
"RAPSN","Rapsn"
"CELF1","Celf1"
"NDUFS3","Ndufs3"
"PTPMT1","Ptpmt1"
"KBTBD4","Kbtbd4"
"C1QTNF4","C1qtnf4"
"MTCH2","Mtch2"
"AGBL2","Agbl2"
"FNBP4","Fnbp4"
"NUP160","Nup160"
"PTPRJ","Ptprj"
"FOLH1","Folh1"
"APLNR","Aplnr"
"TNKS1BP1","Tnks1bp1"
"SSRP1","Ssrp1"
"PRG2","Prg2"
"SLC43A3","Slc43a3"
"RTN4RL2","Rtn4rl2"
"SLC43A1","Slc43a1"
"TIMM10","Timm10"
"UBE2L6","Ube2l6"
"SERPING1","Serping1"
"YPEL4","Ypel4"
"CLP1","Clp1"
"ZDHHC5","Zdhhc5"
"MED19","Med19"
"TMX2","Tmx2"
"SELENOH","Selenoh"
"CTNND1","Ctnnd1"
"LPXN","Lpxn"
"ZFP91","Zfp91"
"FAM111A","Fam111a"
"DTX4","Dtx4"
"OSBP","Osbp"
"PATL1","Patl1"
"STX3","Stx3"
"MRPL16","Mrpl16"
"MS4A3","Ms4a3"
"MS4A2","Ms4a2"
"MS4A7","Ms4a7"
"MS4A14","Ms4a14"
"MS4A1","Ms4a1"
"MS4A8","Ms4a8a"
"MS4A15","Ms4a15"
"CCDC86","Ccdc86"
"PTGDR2","Ptgdr2"
"PRPF19","Prpf19"
"TMEM109","Tmem109"
"TMEM132A","Tmem132a"
"SLC15A3","Slc15a3"
"CD6","Cd6"
"CD5","Cd5"
"VPS37C","Vps37c"
"VWCE","Vwce"
"DDB1","Ddb1"
"TKFC","Tkfc"
"CYB561A3","Cyb561a3"
"TMEM138","Tmem138"
"TMEM216","Tmem216"
"CPSF7","Cpsf7"
"SDHAF2","Sdhaf2"
"PPP1R32","Ppp1r32"
"LRRC10B","Lrrc10b"
"SYT7","Syt7"
"DAGLA","Dagla"
"MYRF","Myrf"
"TMEM258","Tmem258"
"FEN1","Fen1"
"FADS2","Fads2"
"FADS1","Fads1"
"FADS3","Fads3"
"RAB3IL1","Rab3il1"
"BEST1","Best1"
"FTH1","Fth1"
"INCENP","Incenp"
"SCGB2A1","Scgb2a2"
"ASRGL1","Asrgl1"
"SCGB1A1","Scgb1a1"
"AHNAK","Ahnak"
"EEF1G","Eef1g"
"TUT1","Tut1"
"MTA2","Mta2"
"EML3","Eml3"
"ROM1","Rom1"
"B3GAT3","B3gat3"
"GANAB","Ganab"
"INTS5","Ints5"
"C11orf98","1810009A15Rik"
"LBHD1","Gm49403"
"UQCC3","Uqcc3"
"UBXN1","Ubxn1"
"LRRN4CL","Lrrn4cl"
"BSCL2","Bscl2"
"HNRNPUL2","Hnrnpul2"
"TTC9C","Ttc9c"
"ZBTB3","Zbtb3"
"POLR2G","Polr2g"
"TAF6L","Taf6l"
"TMEM223","Tmem223"
"TMEM179B","Tmem179b"
"NXF1","Nxf1"
"STX5","Stx5a"
"WDR74","Wdr74"
"SLC3A2","Slc3a2"
"CHRM1","Chrm1"
"PLAAT5","Plaat5"
"LGALS12","Lgals12"
"PLAAT3","Plaat3"
"ATL3","Atl3"
"RTN3","Rtn3"
"SPINDOC","Spindoc"
"MARK2","Mark2"
"RCOR2","Rcor2"
"NAA40","Naa40"
"COX8A","Cox8a"
"OTUB1","Otub1"
"MACROD1","Macrod1"
"STIP1","Stip1"
"FERMT3","Fermt3"
"TRPT1","Trpt1"
"NUDT22","Nudt22"
"DNAJC4","Dnajc4"
"VEGFB","Vegfb"
"PPP1R14B","Ppp1r14bl"
"PLCB3","Plcb3"
"BAD","Bad"
"GPR137","Gpr137"
"KCNK4","Kcnk4"
"CATSPERZ","Catsperz"
"ESRRA","Esrra"
"TRMT112","Trmt112"
"PRDX5","Prdx5"
"CCDC88B","Ccdc88b"
"NRXN2","Nrxn2"
"RASGRP2","Rasgrp2"
"PYGM","Pygm"
"SF1","Sf1"
"MAP4K2","Map4k2"
"MEN1","Men1"
"CDC42BPG","Cdc42bpg"
"EHD1","Ehd1"
"ATG2A","Atg2a"
"PPP2R5B","Ppp2r5b"
"GPHA2","Gpha2"
"BATF2","Batf2"
"ARL2","Arl2"
"SNX15","Snx15"
"SAC3D1","Sac3d1"
"NAALADL1","Naaladl1"
"CDCA5","Cdca5"
"ZFPL1","Zfpl1"
"VPS51","Vps51"
"TM7SF2","Tm7sf2"
"ZNHIT2","Znhit2"
"FAU","Fau"
"SYVN1","Syvn1"
"MRPL49","Mrpl49"
"CAPN1","Capn1"
"POLA2","Pola2"
"CDC42EP2","Cdc42ep2"
"DPF2","Dpf2"
"SLC25A45","Slc25a45"
"FRMD8","Frmd8"
"SCYL1","Scyl1"
"LTBP3","Ltbp3"
"ZNRD2","Znrd2"
"FAM89B","Fam89b"
"EHBP1L1","Ehbp1l1"
"KCNK7","Kcnk7"
"MAP3K11","Map3k11"
"PCNX3","Pcnx3"
"SIPA1","Sipa1"
"RELA","Rela"
"KAT5","Kat5"
"RNASEH2C","Rnaseh2c"
"AP5B1","Ap5b1"
"OVOL1","Ovol1"
"SNX32","Snx32"
"MUS81","Mus81"
"EFEMP2","Efemp2"
"CTSW","Ctsw"
"FIBP","Fibp"
"CCDC85B","Ccdc85b"
"FOSL1","Fosl1"
"C11orf68","AI837181"
"DRAP1","Drap1"
"SART1","Sart1"
"EIF1AD","Eif1ad"
"BANF1","Banf1"
"CST6","Cst6"
"CATSPER1","Catsper1"
"SF3B2","Sf3b2"
"PACS1","Pacs1"
"KLC2","Klc2"
"RAB1B","Rab1b"
"CNIH2","Cnih2"
"YIF1A","Yif1a"
"CD248","Cd248"
"RIN1","Rin1"
"BRMS1","Brms1"
"B4GAT1","B4gat1"
"SLC29A2","Slc29a2"
"MRPL11","Mrpl11"
"PELI3","Peli3"
"DPP3","Dpp3"
"BBS1","Bbs1"
"ZDHHC24","Zdhhc24"
"CTSF","Ctsf"
"CCS","Ccs"
"RBM14","Rbm14"
"RBM4","Rbm4"
"RBM4B","Rbm4b"
"SPTBN2","Sptbn2"
"C11orf80","Gm960"
"RCE1","Rce1"
"PC","Pcx"
"LRFN4","Lrfn4"
"SYT12","Syt12"
"RHOD","Rhod"
"KDM2A","Kdm2a"
"GRK2","Grk2"
"ANKRD13D","Ankrd13d"
"SSH3","Ssh3"
"RAD9A","Rad9a"
"POLD4","Pold4"
"CLCF1","Clcf1"
"PPP1CA","Ppp1ca"
"TBC1D10C","Tbc1d10c"
"CARNS1","Carns1"
"CORO1B","Coro1b"
"CABP4","Cabp4"
"TMEM134","Tmem134"
"AIP","Aip"
"PITPNM1","Pitpnm1"
"CDK2AP2","Cdk2ap2"
"NDUFV1","Ndufv1"
"ACY3","Acy3"
"UNC93B1","Unc93b1"
"ALDH3B1","Aldh3b1"
"NDUFS8","Ndufs8"
"TCIRG1","Tcirg1"
"CHKA","Chka"
"KMT5B","Kmt5b"
"C11orf24","1810055G02Rik"
"LRP5","Lrp5"
"PPP6R3","Ppp6r3"
"GAL","Gal"
"TESMIN","Tesmin"
"CPT1A","Cpt1a"
"MRPL21","Mrpl21"
"IGHMBP2","Ighmbp2"
"MRGPRF","Mrgprf"
"TPCN2","Tpcn2"
"CCND1","Ccnd1"
"LTO1","LTO1"
"ANO1","Ano1"
"FADD","Fadd"
"PPFIA1","Ppfia1"
"CTTN","Cttn"
"SHANK2","Shank2"
"DHCR7","Dhcr7"
"NADSYN1","Nadsyn1"
"RNF121","Rnf121"
"IL18BP","Il18bp"
"NUMA1","Numa1"
"LRTOMT","Lrrc51"
"LAMTOR1","Lamtor1"
"ANAPC15","Anapc15-ps"
"FOLR1","Folr1"
"INPPL1","Inppl1"
"CLPB","Clpb"
"PDE2A","Pde2a"
"ARAP1","Arap1"
"STARD10","Stard10"
"ATG16L2","Atg16l2"
"FCHSD2","Fchsd2"
"P2RY2","P2ry2"
"P2RY6","P2ry6"
"ARHGEF17","Arhgef17"
"RELT","Relt"
"FAM168A","Fam168a"
"PLEKHB1","Plekhb1"
"RAB6A","Rab6a"
"MRPL48","Mrpl48"
"COA4","Coa4"
"DNAJB13","Dnajb13"
"UCP2","Ucp2"
"UCP3","Ucp3"
"C2CD3","C2cd3"
"PPME1","Ppme1"
"P4HA3","P4ha3"
"PGM2L1","Pgm2l1"
"KCNE3","Kcne3"
"LIPT2","Lipt2"
"CHRDL2","Chrdl2"
"RNF169","Rnf169"
"XRRA1","Xrra1"
"SPCS2","Spcs2"
"NEU3","Neu3"
"SLCO2B1","Slco2b1"
"TPBGL","Tpbgl"
"ARRB1","Arrb1"
"KLHL35","Klhl35"
"GDPD5","Gdpd5"
"SERPINH1","Serpinh1"
"MAP6","Map6"
"DGAT2","Dgat2"
"UVRAG","Uvrag"
"WNT11","Wnt11"
"THAP12","Thap12"
"EMSY","Emsy"
"LRRC32","Lrrc32"
"TSKU","Tsku"
"ACER3","Acer3"
"CAPN5","Capn5"
"MYO7A","Myo7a"
"PAK1","Pak1"
"CLNS1A","Clns1a"
"AQP11","Aqp11"
"RSF1","Rsf1"
"AAMDC","Aamdc"
"INTS4","Ints4"
"KCTD14","Kctd14"
"NDUFC2","Ndufc2"
"ALG8","Alg8"
"KCTD21","Kctd21"
"USP35","Usp35"
"GAB2","Gab2"
"NARS2","Nars2"
"TENM4","Tenm4"
"FAM181B","Fam181b"
"PRCP","Prcp"
"DDIAS","Ddias"
"RAB30","Rab30"
"PCF11","Pcf11"
"ANKRD42","Ankrd42"
"CCDC90B","Ccdc90b"
"DLG2","Dlg2"
"TMEM126B","Tmem126b"
"TMEM126A","Tmem126a"
"CREBZF","Crebzf"
"CCDC89","Ccdc89"
"SYTL2","Sytl2"
"PICALM","Picalm"
"EED","Eed"
"HIKESHI","Hikeshi"
"CCDC81","Ccdc81"
"ME3","Me3"
"PRSS23","Prss23"
"FZD4","Fzd4"
"TMEM135","Tmem135"
"RAB38","Rab38"
"CTSC","Ctsc"
"NOX4","Nox4"
"NAALAD2","Naalad2"
"CHORDC1","Chordc1"
"FAT3","Fat3"
"SLC36A4","Slc36a4"
"DEUP1","Deup1"
"SMCO4","Smco4"
"CEP295","Cep295"
"TAF1D","Taf1d"
"C11orf54","4931406C07Rik"
"MED17","Med17"
"VSTM5","Vstm5"
"PANX1","Panx1"
"MRE11","Mre11a"
"ANKRD49","Ankrd49"
"C11orf97","1700012B09Rik"
"FUT4","Fut4"
"PIWIL4","Piwil4"
"AMOTL1","Amotl1"
"CWC15","Cwc15"
"KDM4D","Kdm4d"
"ENDOD1","Endod1"
"SESN3","Sesn3"
"FAM76B","Fam76b"
"CEP57","Cep57"
"MTMR2","Mtmr2"
"MAML2","Maml2"
"CCDC82","Ccdc82"
"JRKL","Jrkl"
"CNTN5","Cntn5"
"ARHGAP42","Arhgap42"
"PGR","Pgr"
"TRPC6","Trpc6"
"CEP126","Cep126"
"CFAP300","Cfap300"
"YAP1","Yap1"
"BIRC3","Birc3"
"BIRC2","Birc2"
"TMEM123","Tmem123"
"MMP7","Mmp7"
"MMP8","Mmp8"
"MMP3","Mmp3"
"MMP12","Mmp12"
"MMP13","Mmp13"
"DCUN1D5","Dcun1d5"
"DYNC2H1","Dync2h1"
"PDGFD","Pdgfd"
"MSANTD4","Msantd4"
"KBTBD3","Kbtbd3"
"AASDHPPT","Aasdhppt"
"GUCY1A2","Gucy1a2"
"CWF19L2","Cwf19l2"
"ALKBH8","Alkbh8"
"ELMOD1","Elmod1"
"SLC35F2","Slc35f2"
"RAB39A","Rab39"
"CUL5","Cul5"
"ACAT1","Acat1"
"NPAT","Npat"
"ATM","Atm"
"C11orf65","4930550C14Rik"
"POGLUT3","Poglut3"
"EXPH5","Exph5"
"DDX10","Ddx10"
"RDX","Rdx"
"ZC3H12C","Zc3h12c"
"FDX1","Fdx1"
"ARHGAP20","Arhgap20"
"COLCA2","Colca2"
"POU2AF1","Pou2af1"
"LAYN","Layn"
"SIK2","Sik2"
"PPP2R1B","Ppp2r1b"
"ALG9","Alg9"
"FDXACB1","Fdxacb1"
"C11orf1","1110032A03Rik"
"CRYAB","Cryab"
"HSPB2","Hspb2"
"C11orf52","2310030G06Rik"
"DIXDC1","Dixdc1"
"DLAT","Dlat"
"PIH1D2","Pih1d2"
"NKAPD1","Nkapd1"
"TIMM8B","Timm8b"
"SDHD","Sdhd"
"IL18","Il18"
"BCO2","Bco2"
"PTS","Pts"
"NCAM1","Ncam1"
"TTC12","Ttc12"
"ANKK1","Ankk1"
"TMPRSS5","Tmprss5"
"ZW10","Zw10"
"USP28","Usp28"
"ZBTB16","Zbtb16"
"NNMT","Nnmt"
"C11orf71","Gm5617"
"RBM7","Rbm7"
"REXO2","Rexo2"
"CADM1","Cadm1"
"BUD13","Bud13"
